Airport
BRATISLAVA/M.R.STEFANIK airport
KOSICE airport
Unknown airport - SLOVAKIA
ENONTEKIO airport
HALLI airport
HERNESAARI airport
HELSINKI-MALMI airport
HELSINKI-VANTAA airport
HANKO airport
HYVINKAA airport
IMMOLA airport
IVALO airport
JOENSUU airport
JYVASKYLA airport
KAUHAVA airport
KEMI-TORNIO airport
KAJAANI airport
KOKKOLA-PIETARSAARI airport
KUUSAMO airport
KITTILA airport
KUOPIO airport
LAHTI-VESIVEHMAA airport
LIEKSA-NURMES airport
LAPPEENRANTA airport
MARIEHAMN airport
MIKKELI airport
OULU airport
PORI airport
PYHASALMI airport
ROVANIEMI airport
SAVONLINNA airport
SEINAJOKI airport
SODANKYLA airport
TAMPERE-PIRKKALA airport
TURKU airport
UTTI airport
VAASA airport
VARKAUS airport
YLIVIESKA airport
Unknown airport - FINLAND
ANGELHOLM airport
RONNEBY airport
GOTEBORG/LANDVETTER airport
JONKOPING airport
GOTEBORG/SAVE airport
STOCKHOLM/SKAVSTA airport
KALMAR airport
MALMO airport
HALMSTAD airport
VAXJO/KRONOBERG airport
SUNDSVALL-TIMRA airport
ORNSKOLDSVIK airport
KIRUNA airport
SKELLEFTEA airport
UMEA airport
ARE OSTERSUND airport
OREBRO airport
KARLSTAD airport
STOCKHOLM/VASTERAS airport
LULEA/KALLAX airport
OESTERSUND airport
STOCKHOLM/ARLANDA airport
STOCKHOLM/BROMMA airport
LINKOPING/SAAB airport
NORRKOPING/KUNGSANGEN airport
KARLSTAD airport
VISBY airport
ANGELHOLM airport
AKUREYRI airport
EGILSSTADIR airport
ISAFJORDUR airport
KEFLAVIK airport
REYKJAVIK airport
VESTMANNAEYJAR airport
ALESUND/VIGRA airport
ANDOYA/ANDENES airport
NY-ALESUND/HAMNERABBEN airport
ALTA airport
BARENTSBURG airport
"NORWAY ACC, BODO airport"
BERGEN/GRONNEVIKSOREN airport
BJORNOYA airport
FORDE/BRINGELAND airport
BOMOEN airport
BRONNOYSUND/BRONNOY airport
BODO airport
BERGEN/FLESLAND airport
BATSFJORD airport
BERLEVAG airport
KRISTIANSAND/KJEVIK airport
GEILO/DAGALI airport
DOKKA/THOMLEVOLD airport
BARDUFOSS airport
EGGEMOEN airport
EKOFISK airport
HARSTAD/NARVIK/EVENES airport
FROYA/FLATVAL airport
STATFJORD B airport
FORDE/SENTRALSJUKEHUSET airport
FAGERNES/LEIRIN airport
FEDJE airport
FLORO airport
FORUS airport
FRIGG airport
FYRESDAL airport
GULLKNAPP airport
OSLO/GARDERMOEN airport
HAMAR/STAFSBERG airport
HAUGESUND/KARMOY airport
HAMMERFEST airport
HASVIK airport
HORNMOEN airport
HOPEN airport
HOKKSUND airport
HATTFJELLDAL/VOLLEN airport
HONNINGSVAG/VALAN airport
